case_id	category	x	y	z	placements	notes
layout-pieced-none	layout-mask	10	100	-180	1	pieced top-face mask 0x00
layout-pieced-top	layout-mask	16	100	-180	2	pieced top-face mask 0x01
layout-pieced-right	layout-mask	22	100	-180	2	pieced top-face mask 0x04
layout-pieced-bottom	layout-mask	28	100	-180	2	pieced top-face mask 0x10
layout-pieced-left	layout-mask	34	100	-180	2	pieced top-face mask 0x40
layout-pieced-top-right	layout-mask	40	100	-180	3	pieced top-face mask 0x05
layout-pieced-top-bottom	layout-mask	46	100	-180	3	pieced top-face mask 0x11
layout-pieced-left-right	layout-mask	52	100	-180	3	pieced top-face mask 0x44
layout-pieced-cardinals	layout-mask	58	100	-180	5	pieced top-face mask 0x55
layout-pieced-one-diagonal	layout-mask	64	100	-180	6	pieced top-face mask 0x57
layout-pieced-mask-dd	layout-mask	70	100	-180	7	pieced top-face mask 0xdd
layout-pieced-full-edge47	layout-mask	76	100	-180	8	pieced top-face mask 0x7f
layout-pieced-full-edge46	layout-mask	82	100	-180	8	pieced top-face mask 0xfd
layout-pieced-all	layout-mask	88	100	-180	9	pieced top-face mask 0xff
layout-full-none	layout-mask	94	100	-180	1	full top-face mask 0x00
layout-full-top	layout-mask	100	100	-180	2	full top-face mask 0x01
layout-full-right	layout-mask	106	100	-180	2	full top-face mask 0x04
layout-full-bottom	layout-mask	112	100	-180	2	full top-face mask 0x10
layout-full-left	layout-mask	118	100	-180	2	full top-face mask 0x40
layout-full-top-right	layout-mask	124	100	-180	3	full top-face mask 0x05
layout-full-top-bottom	layout-mask	10	100	-174	3	full top-face mask 0x11
layout-full-left-right	layout-mask	16	100	-174	3	full top-face mask 0x44
layout-full-cardinals	layout-mask	22	100	-174	5	full top-face mask 0x55
layout-full-one-diagonal	layout-mask	28	100	-174	6	full top-face mask 0x57
layout-full-purpur-tile40	layout-mask	34	100	-174	7	full top-face mask 0xdd
layout-full-full-edge47	layout-mask	40	100	-174	8	full top-face mask 0x7f
