index	block_id	shape_family	x	y	z
0	rechiseled:acacia_planks_beams_connecting	full	-180	100	-180
1	rechiseled:acacia_planks_beams_slab_connecting	slab	-177	100	-180
2	rechiseled:acacia_planks_beams_stairs_connecting	stairs	-174	100	-180
3	rechiseled:acacia_planks_brick_pattern_connecting	full	-171	100	-180
4	rechiseled:acacia_planks_brick_pattern_slab_connecting	slab	-168	100	-180
5	rechiseled:acacia_planks_brick_pattern_stairs_connecting	stairs	-165	100	-180
6	rechiseled:acacia_planks_brick_paving_connecting	full	-162	100	-180
7	rechiseled:acacia_planks_brick_paving_slab_connecting	slab	-159	100	-180
8	rechiseled:acacia_planks_brick_paving_stairs_connecting	stairs	-156	100	-180
9	rechiseled:acacia_planks_bricks_connecting	full	-153	100	-180
10	rechiseled:acacia_planks_bricks_slab_connecting	slab	-150	100	-180
11	rechiseled:acacia_planks_bricks_stairs_connecting	stairs	-147	100	-180
12	rechiseled:acacia_planks_crate_connecting	full	-144	100	-180
13	rechiseled:acacia_planks_crate_slab_connecting	slab	-141	100	-180
14	rechiseled:acacia_planks_crate_stairs_connecting	stairs	-138	100	-180
15	rechiseled:acacia_planks_diagonal_stripes_connecting	full	-135	100	-180
16	rechiseled:acacia_planks_diagonal_stripes_slab_connecting	slab	-132	100	-180
17	rechiseled:acacia_planks_diagonal_stripes_stairs_connecting	stairs	-129	100	-180
18	rechiseled:acacia_planks_diagonal_tiles_connecting	full	-126	100	-180
19	rechiseled:acacia_planks_diagonal_tiles_slab_connecting	slab	-123	100	-180
20	rechiseled:acacia_planks_diagonal_tiles_stairs_connecting	stairs	-120	100	-180
21	rechiseled:acacia_planks_dotted_connecting	full	-117	100	-180
22	rechiseled:acacia_planks_dotted_slab_connecting	slab	-114	100	-180
23	rechiseled:acacia_planks_dotted_stairs_connecting	stairs	-111	100	-180
24	rechiseled:acacia_planks_flooring_connecting	full	-108	100	-180
25	rechiseled:acacia_planks_flooring_slab_connecting	slab	-105	100	-180
26	rechiseled:acacia_planks_flooring_stairs_connecting	stairs	-102	100	-180
27	rechiseled:acacia_planks_large_tiles_connecting	full	-99	100	-180
28	rechiseled:acacia_planks_large_tiles_slab_connecting	slab	-96	100	-180
29	rechiseled:acacia_planks_large_tiles_stairs_connecting	stairs	-93	100	-180
30	rechiseled:acacia_planks_pattern_connecting	full	-90	100	-180
31	rechiseled:acacia_planks_pattern_slab_connecting	slab	-87	100	-180
32	rechiseled:acacia_planks_pattern_stairs_connecting	stairs	-84	100	-180
33	rechiseled:acacia_planks_rotated_bricks_connecting	full	-81	100	-180
34	rechiseled:acacia_planks_rotated_bricks_slab_connecting	slab	-78	100	-180
35	rechiseled:acacia_planks_rotated_bricks_stairs_connecting	stairs	-75	100	-180
36	rechiseled:acacia_planks_small_bricks_connecting	full	-72	100	-180
37	rechiseled:acacia_planks_small_bricks_slab_connecting	slab	-69	100	-180
38	rechiseled:acacia_planks_small_bricks_stairs_connecting	stairs	-66	100	-180
39	rechiseled:acacia_planks_small_tiles_connecting	full	-63	100	-180
40	rechiseled:acacia_planks_small_tiles_slab_connecting	slab	-60	100	-180
41	rechiseled:acacia_planks_small_tiles_stairs_connecting	stairs	-57	100	-180
42	rechiseled:acacia_planks_squares_connecting	full	-180	100	-177
43	rechiseled:acacia_planks_squares_slab_connecting	slab	-177	100	-177
44	rechiseled:acacia_planks_squares_stairs_connecting	stairs	-174	100	-177
45	rechiseled:acacia_planks_tiles_connecting	full	-171	100	-177
46	rechiseled:acacia_planks_tiles_slab_connecting	slab	-168	100	-177
47	rechiseled:acacia_planks_tiles_stairs_connecting	stairs	-165	100	-177
48	rechiseled:acacia_planks_wavy_connecting	full	-162	100	-177
49	rechiseled:acacia_planks_wavy_slab_connecting	slab	-159	100	-177
50	rechiseled:acacia_planks_wavy_stairs_connecting	stairs	-156	100	-177
51	rechiseled:acacia_planks_woven_connecting	full	-153	100	-177
52	rechiseled:acacia_planks_woven_slab_connecting	slab	-150	100	-177
53	rechiseled:acacia_planks_woven_stairs_connecting	stairs	-147	100	-177
54	rechiseled:amethyst_block_beams_connecting	full	-144	100	-177
55	rechiseled:amethyst_block_beams_slab_connecting	slab	-141	100	-177
56	rechiseled:amethyst_block_beams_stairs_connecting	stairs	-138	100	-177
57	rechiseled:amethyst_block_bordered_diagonal_tiles_connecting	full	-135	100	-177
